BLOC,POLARITÉ,PLANÈTE,TYPE_DONNÉE,VALEUR,INTERPRÉTATION,MOTS_CLÉS,SOURCE,VALIDATION,DATE_MAJ,
Style,"Femme, Homme",Lune,Signe,Bélier,"Tu as besoin d'excitation, de spontanéité et d'indépendance affective. Tu te nourris dans l'action, le mouvement, la nouveauté. Tu veux qu'on te stimule, qu'on te challenge, qu'on te laisse libre. L'amour doit rester vivant, jamais routinier. Tu peux te lasser vite si la relation stagne. Tu te sens sécurisé(e) quand tu peux être toi-même, sans contrainte, sans fusion étouffante.",spontanéité; indépendance; stimulation; impatience,,,,
Style,"Femme, Homme",Lune,Signe,Taureau,"Tu as besoin de stabilité, de sécurité et de plaisirs partagés. Tu te nourris dans la constance, le confort, la sensualité. Tu veux qu'on te rassure par des gestes concrets, des preuves tangibles d'amour. L'affection passe par le toucher, les cadeaux, le temps de qualité. Tu peux être possessif(ve) ou résister au changement. Tu te sens sécurisé(e) dans la répétition, les rituels, la fidélité.",stabilité; sensualité; possession; confort,,,,
Style,"Femme, Homme",Lune,Signe,Gémeaux,"Tu as besoin de communication, de légèreté et de stimulation intellectuelle. Tu te nourris dans l'échange verbal, la curiosité, la variété. Tu veux qu'on te parle, qu'on t'écoute, qu'on te fasse rire. L'amour doit être vivant, jamais lourd ni possessif. Tu peux fuir l'intensité émotionnelle ou papillonner. Tu te sens sécurisé(e) quand tu peux bouger, explorer, rester libre mentalement.",communication; légèreté; curiosité; dispersion,,,,
Style,"Femme, Homme",Lune,Signe,Cancer,"Tu as besoin de sécurité émotionnelle, d'intimité profonde et de protection. Tu te nourris dans le cocon, la douceur, la tendresse maternante. Tu veux qu'on prenne soin de toi, qu'on te comprenne sans mots. L'amour doit être un refuge, un foyer émotionnel. Tu peux être collant(e), craintif(ve) ou sur la défensive. Tu te sens sécurisé(e) quand tu peux être vulnérable sans risque.",sécurité; tendresse; fusion; dépendance,,,,
Style,"Femme, Homme",Lune,Signe,Lion,"Tu as besoin d'admiration, de reconnaissance et de chaleur affective. Tu te nourris dans l'expression créative, la générosité, le jeu. Tu veux qu'on te valorise, qu'on te célèbre, qu'on te montre ton importance. L'amour doit être solaire, joyeux, théâtral. Tu peux être blessé(e) par l'indifférence ou devenir égocentrique. Tu te sens sécurisé(e) quand tu brilles, quand tu te sens spécial(e).", reconnaissance; fierté; générosité; théâtralité,,,,
Style,"Femme, Homme",Lune,Signe,Vierge,"Tu as besoin d'ordre, de fiabilité et de gestes concrets. Tu te nourris dans le service, l'amélioration, les attentions quotidiennes. Tu veux qu'on te prouve l'amour par des actes utiles, pas juste des mots. L'affection doit être sincère, pure, sans grand spectacle. Tu peux trop analyser tes émotions ou douter. Tu te sens sécurisé(e) dans la routine saine, la propreté émotionnelle.",service; analyse; doute; perfectionnisme,,,,
Style,"Femme, Homme",Lune,Signe,Balance,"Tu as besoin d'harmonie, d'équilibre et de beauté relationnelle. Tu te nourris dans le partage, la réciprocité, l'esthétique du lien. Tu veux qu'on soit doux, juste, attentionné. L'amour doit être élégant, sans conflit violent, sans rupture brutale. Tu peux fuir tes propres besoins pour garder la paix. Tu te sens sécurisé(e) dans l'équilibre à deux, dans la connexion paisible.",harmonie; équilibre; indécision; douceur,,,,
Style,"Femme, Homme",Lune,Signe,Scorpion,"Tu as besoin d'intensité, de profondeur et de fusion émotionnelle. Tu te nourris dans la vérité nue, le mystère, la transformation. Tu veux qu'on plonge avec toi dans l'ombre, qu'on soit loyal jusqu'au bout. L'amour doit être absolu, jamais tiède ni superficiel. Tu peux être jaloux(se), méfiant(e) ou obsessionnel(le). Tu te sens sécurisé(e) dans la transparence totale, le lien indéfectible.""",intensité; fusion; jalousie; profondeur,,,,
Style,"Femme, Homme",Lune,Signe,Sagittaire,"Tu as besoin de liberté, d'optimisme et de sens. Tu te nourris dans l'aventure, la découverte, l'expansion. Tu veux qu'on t'inspire, qu'on te fasse grandir, qu'on respecte ton espace. L'amour doit être joyeux, philosophique, sans cage ni lourdeur. Tu peux fuir l'engagement ou blesser par ta franchise. Tu te sens sécurisé(e) quand tu peux voyager, explorer, rester libre.", liberté; optimisme; aventure; fuite,,,,
Style,"Femme, Homme",Lune,Signe,Capricorne,"Tu as besoin de structure, de sérieux et de preuves durables. Tu te nourris dans la stabilité, la responsabilité, la construction à long terme. Tu veux qu'on soit mature, fiable, qu'on construise quelque chose de solide. L'amour doit être respectueux, pas démonstratif. Tu peux être froid(e), distant(e) ou bloquer tes émotions. Tu te sens sécurisé(e) dans l'engagement concret, la durée.""",sérieux; contrôle; froideur; durée,,,,
Style,"Femme, Homme",Lune,Signe,Verseau,"Tu as besoin de liberté, d'originalité et de connexion intellectuelle. Tu te nourris dans l'amitié, l'idéalisme, la vision commune. Tu veux qu'on respecte ton indépendance, qu'on soit authentique et différent. L'amour doit être égalitaire, stimulant, jamais possessif. Tu peux être détaché(e) émotionnellement ou fuir l'intimité. Tu te sens sécurisé(e) dans l'autonomie mutuelle.""",liberté; détachement; originalité; amitié,,,,
Style,"Femme, Homme",Lune,Signe,Poissons,"Tu as besoin de fusion, de compassion et de connexion d'âme. Tu te nourris dans la sensibilité, l'empathie, le rêve partagé. Tu veux qu'on te comprenne intuitivement, qu'on soit doux et spirituel. L'amour doit être mystique, sans frontières, transcendant. Tu peux te perdre dans l'autre, t'oublier ou idéaliser. Tu te sens sécurisé(e) dans la fusion totale, le lien invisible.""",fusion; empathie; sacrifice; idéalisation,,,,
Style,Femme,Vénus,Signe,Bélier,"Tu aimes avec impulsivité, passion et indépendance. Ton affection est fougueuse, directe, parfois maladroite. Tu te lances vite mais te lasses aussi rapidement. Tu montres ton amour par l'action, le courage, la spontanéité. Tu peux être égocentrique ou avoir peur de la dépendance affective.",passion; spontanéité; intensité; franchise,,,,
